क्रस,प्रदेश,जिल्ला,जिल्ला समन्वय समिति,वेवसाईट,ईमेल,फोन,एक्सन
13.,प्रदेश नं. १,उदयपुर,जिल्ला समन्वय समिति उदयपुर,http://dccudayapur.gov.np,ddcudayapur@gmail.com,035-420144,
14.,प्रदेश नं. १,ओखलढुंगा,जिल्ला समन्वय समिति ओखलढुङ्गा,http://dccokhaldhunga.gov.np,shresthajaya2002@gmail.com,037-520318,
15.,मधेश प्रदेश,सप्तरी,जिल्ला समन्वय समिति सप्तरी,http://dccsaptari.gov.np,info@ddcsaptari.gov.np,031-520210,
16.,मधेश प्रदेश,सिराहा,जिल्ला समन्वय समिति सिराहा,http://dccsiraha.gov.np,info@ddcsiraha.gov.np,33520014,
17.,मधेश प्रदेश,धनुषा,जिल्ला समन्वय समिति धनुषा,http://dccdhanusha.gov.np,ddcdhanusha@gmail.com,041-520142,
18.,मधेश प्रदेश,महोत्तरी,जिल्ला समन्वय समिति महोत्तरी,http://dccmahottari.gov.np,ddcmahottari@gmail.com,044-520042,
19.,मधेश प्रदेश,सर्लाही,जिल्ला समन्वय समिति सर्लाही,http://dccsarlahi.gov.np,info@ddcsarlahi.gov.np,046-520132,
20.,मधेश प्रदेश,रौतहट,जिल्ला समन्वय समिति रौतहट,http://dccrautahat.gov.np,-,055-520144,
21.,मधेश प्रदेश,बारा,जिल्ला समन्वय समिति बारा,http://dccbara.gov.np,-,053-551042,
22.,मधेश प्रदेश,पर्सा,जिल्ला समन्वय समिति पर्सा,http://dccparsa.gov.np,-,051-523218,
23.,बागमती प्रदेश,सिन्धुली,जिल्ला समन्वय समिति सिन्धुली,http://dccsindhuli.gov.np,dccsindhuli@gmail.com,47-520144,
24.,बागमती प्रदेश,रामेछाप,जिल्ला समन्वय समिति रामेछाप,http://dccramechhap.gov.np,ddcramechhap@gmail.com,048-540347,
25.,बागमती प्रदेश,दोलखा,जिल्ला समन्वय समिति दोलखा,http://dccdolakha.gov.np,ict.ddcdolakha@gmail.com,049-421493,
26.,बागमती प्रदेश,सिन्धुपाल्चोक,जिल्ला समन्वय समिति सिन्धुपाल्चोक,http://dccsindhupalchowk.gov.np,-,1620102,
27.,बागमती प्रदेश,रसुवा,जिल्ला समन्वय समिति रसुवा,http://dccrasuwa.gov.np,ddcrasuwa@gmail.com,010-540252,
28.,बागमती प्रदेश,धादिङ,जिल्ला समन्वय समिति धादिङ्ग,http://dccdhading.gov.np,-,9851006832,
29.,बागमती प्रदेश,नुवाकोट,जिल्ला समन्वय समिति नुवाकोट,http://dccnuwakot.gov.np,ddcnuwakot10@gmail.com,10-560197,
30.,बागमती प्रदेश,काठमाण्डौं,जिल्ला समन्वय समिति काठमाण्डौं,http://dccktm.gov.np,info@ddcktm.gov.np,014254697,
31.,बागमती प्रदेश,ललितपुर,जिल्ला समन्वय समिति ललितपुर,http://dcclalitpur.gov.npen,info@ddclalitpur.gov.np,01-5523410,
32.,बागमती प्रदेश,भक्तपुर,जिल्ला समन्वय समिति भक्तपुर,http://dccbhaktapur.gov.np,info@ddcbhaktapur.gov.np,01-6614826,
33.,बागमती प्रदेश,काभ्रेपलाञ्चोक,जिल्ला समन्वय समिति काभ्रेपलान्चोक,http://dcckavre.gov.np,info@ddckavre.gov.np,011-490427,
34.,बागमती प्रदेश,मकवानपुर,जिल्ला समन्वय समिति मकवानपुर,http://dccmakwanpur.gov.np,info@ddcmakawanpur.gov.np,057-525913,
35.,बागमती प्रदेश,चितवन,जिल्ला समन्वय समिति चितवन,http://dccchitwan.gov.np,ldo@ddcchitwan.gov.np,056-520147,
36.,गण्डकी प्रदेश,स्याङजा,जिल्ला समन्वय समिति स्याङ्गजा,http://dccsyangja.gov.np,sitasundas@gmail.com,063-420458,
37.,गण्डकी प्रदेश,तनहुँ,जिल्ला समन्वय समिति तनहुँ,http://dcctanahun.gov.np,info@ddctanahun.gov.np,065-540144,
38.,गण्डकी प्रदेश,गोरखा,जिल्ला समन्वय समिति गोरखा,http://dccgorkha.gov.np,info@ddcgorkha.gov.np,064-420160,
39.,गण्डकी प्रदेश,मनाङ,जिल्ला समन्वय समिति मनाङ,http://dccmanang.gov.np,ddcmanang@gmail.com,066-440244,
40.,गण्डकी प्रदेश,लमजुङ,जिल्ला समन्वय समिति लम्जुङ्ग,http://dcclamjung.gov.np,info@ddclamjung.gov.np,066-520144,
41.,गण्डकी प्रदेश,कास्की,जिल्ला समन्वय समिति कास्की,http://dcckaski.gov.np,ddckaski@gmail.com,061-464346,
42.,गण्डकी प्रदेश,पर्वत,जिल्ला समन्वय समिति पर्वत,http://dccparbat.gov.np,mail@ddcparbat.gov.np,067-420154,
43.,गण्डकी प्रदेश,बाग्लुङ,जिल्ला समन्वय समिति बाग्लुङ्ग,http://dccbaglung.gov.np,info@ddcbaglung.gov.np,068-522556,
44.,गण्डकी प्रदेश,म्याग्दी,जिल्ला समन्वय समिति म्याग्दी,http://dccmyagdi.gov.np,info@ddcmyagdi.gov.np,069-520108,
45.,गण्डकी प्रदेश,मुस्ताङ,जिल्ला समन्वय समिति मुस्ताङ,http://dccmustang.gov.np,infodccmustang@gmail.com,069-440044,
46.,गण्डकी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पूर्व),जिल्ला समन्वय समिति नवलपरासी (बर्दघाट...,http://dccnawalparasieast.gov.np,-,9857040472,
47.,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),जिल्ला समन्वय समिति नवलपरासी (बर्दघाट...,http://dccnawalparasiwest.gov.np,ddcnawalparasi@gmail.com,78520144,
48.,लुम्बिनी प्रदेश,रूपन्देही,जिल्ला समन्वय समिति रूपन्देही,http://dccrupandehi.gov.np,rupandehi.ddc@gmail.com,071-521423,
49.,लुम्बिनी प्रदेश,कपिलबस्तु,जिल्ला समन्वय समिति कपिलवस्तु,http://dcckapilvastu.gov.np,dcckpl7@gmail.com,076-560027,
50.,लुम्बिनी प्रदेश,अर्घाखाँची,जिल्ला समन्वय समिति अर्घाखाँची,http://dccarghakhanchi.gov.np,ddcarghakhanchi.gov.np,077-420229,
51.,लुम्बिनी प्रदेश,पाल्पा,जिल्ला समन्वय समिति पाल्पा,http://dccpalpa.gov.np,palpaddc@gmail.com,75520424,
52.,लुम्बिनी प्रदेश,गुल्मी,जिल्ला समन्वय समिति गुल्मी,http://dccgulmi.gov.np,gulmiddc@gmail.com,079-520144,
53.,लुम्बिनी प्रदेश,रोल्पा,जिल्ला समन्वय समिति रोल्पा,http://dccrolpa.gov.np,info@ddcrolpa.gov.np,086-440114,
54.,लुम्बिनी प्रदेश,प्यूठान,जिल्ला समन्वय समिति प्यूठान,http://dccpyuthan.gov.np,ddcpyuthan@gmail.com,086-420147,
55.,लुम्बिनी प्रदेश,दाङ,जिल्ला समन्वय समिति दाङ्ग,http://dccdang.gov.np,info@ddcdang.gov.np,082-560038,
56.,लुम्बिनी प्रदेश,बाँके,जिल्ला समन्वय समिति बाँके,http://dccbanke.gov.np,info@ddcbanke.gov.np,081-520331,
57.,लुम्बिनी प्रदेश,बर्दिया,जिल्ला समन्वय समिति बर्दिया,http://dccbardiya.gov.np,info@ddcbardiya.gov.np,084-420139,
58.,लुम्बिनी प्रदेश,रुकुम (पूर्वी भाग),जिल्ला समन्वय समिति रूकुम (पूर्व),http://dccrukumeast.gov.np,-,9866931000,
59.,कर्णाली प्रदेश,मुगु,जिल्ला समन्वय समिति मुगु,http://dccmugu.gov.np,info@ddcmugu.gov.np,087-460023,
60.,कर्णाली प्रदेश,डोल्पा,जिल्ला समन्वय समिति डोल्पा,http://dccdolpa.gov.np,info@ddcdolpa.gov.np,087-550039,
61.,कर्णाली प्रदेश,हुम्ला,जिल्ला समन्वय समिति हुम्ला,http://dccrukumwest.gov.np,info@ddchumla.gov.np,087-680015,
62.,कर्णाली प्रदेश,जुम्ला,जिल्ला समन्वय समिति जुम्ला,http://dccdolpa.gov.np,ddcjumla@gmail.com,087-520114,
63.,कर्णाली प्रदेश,कालिकोट,जिल्ला समन्वय समिति कालिकोट,http://dcckalikot.gov.np,info@ddckalikot.gov.np,087-440120,
64.,कर्णाली प्रदेश,रुकुम (पश्चिम भाग),जिल्ला समन्वय समिति रूकुम (पश्चिम),http://dccrukum.gov.np,dccrukumwest@gmail.com,088-530120,
65.,कर्णाली प्रदेश,सल्यान,जिल्ला समन्वय समिति सल्यान,http://dccsalyan.gov.np,info@ddcsalyan.gov.np,088-520072,
66.,कर्णाली प्रदेश,सुर्खेत,जिल्ला समन्वय समिति सुर्खेत,http://dccsurkhet.gov.np,info@ddcsurkhet.gov.np,083-520251,
67.,कर्णाली प्रदेश,जाजरकोट,जिल्ला समन्वय समिति जाजरकोट,http://dccjajarkot.gov.np,ddcjajarkotinfo@gmail.com,089-430299,
68.,कर्णाली प्रदेश,दैलेख,जिल्ला समन्वय समिति दैलेख,http://dccdailekh.gov.np,ddcdailekh@gmail.com,089-420114,
69.,सुदूरपश्चिम प्रदेश,कैलाली,जिल्ला समन्वय समिति कैलाली,http://dcckailali.gov.np,ddckailali@gmail.com,091-524747,
70.,सुदूरपश्चिम प्रदेश,डोटी,जिल्ला समन्वय समिति डोटी,http://dccdoti.gov.np,ddcdoti@mofald.gov.np,094-420156,
71.,सुदूरपश्चिम प्रदेश,अछाम,जिल्ला समन्वय समिति आछाम,http://dccachham.gov.np,info@ddcachham.gov.np,097-620144,
72.,सुदूरपश्चिम प्रदेश,बाजुरा,जिल्ला समन्वय समिति बाजुरा,http://dccbajura.gov.np,info@ddcbajura.gov.np,097-541134,
73.,सुदूरपश्चिम प्रदेश,बझाङ,जिल्ला समन्वय समिति बझाङ,http://dccbajhang.gov.np,info@ddcbajhang.gov.np,092-421057,
74.,सुदूरपश्चिम प्रदेश,दार्चुला,जिल्ला समन्वय समिति दार्चुला,http://dccdarchula.gov.np,,974950783,
75.,सुदूरपश्चिम प्रदेश,बैतडी,जिल्ला समन्वय समिति बैतडी,http://dccbaitadi.gov.np,ddcbaitadi@gmail.com,095-520144,
76.,सुदूरपश्चिम प्रदेश,डडेल्धुरा,जिल्ला समन्वय समिति डडेलधुरा,http://dccdadeldhura.gov.np,ddcdadeldhura@gmail.com,096-410144,
77.,सुदूरपश्चिम प्रदेश,कञ्चनपुर,जिल्ला समन्वय समिति कञ्चनपुर,http://dcckanchanpur.gov.np,info@ddckanchanpur.gov.np,099-521328,
