क्रस,प्रदेश,स्थानीय तहको नाम,जिल्ला,वेवसाईट,कार्यालयको ईमेल,सम्पर्क फोन,बिस्तृतमा
३७,प्रदेश नं. १,ऐसेलुखर्क गाउँपालिका,खोटाङ,http://aiselukharkamun.gov.np,info@aiselukharkamun.gov.np,036411103,
३८,प्रदेश नं. १,रावा वेसी गाउँपालिका,खोटाङ,http://rawabesimun.gov.np,info@rawabesimun.gov.np,9807756867,
३९,प्रदेश नं. १,हलेसी तुवाचुङ नगरपालिका,खोटाङ,http://halesituwachungmun.gov.np,tuwachung.mun@gmail.com,9851009879,
४०,प्रदेश नं. १,दिक्तेल रुपाकोट मझुवागढी नगरपालिका,खोटाङ,http://rupakotmajhuwagadhimun.gov.np,rupakotmun@gmail.com,036-420683,
४१,प्रदेश नं. १,साकेला गाउँपालिका,खोटाङ,http://sakelamun.gov.np,ito.sakelarmun@gmail.com,9843358296,
४२,प्रदेश नं. १,दिप्रुङ चुइचुम्मा गाउँपालिका,खोटाङ,http://diprungchuichummamun.gov.np,ito.diprungmun@gmail.com,9851247166,
४३,प्रदेश नं. १,खोटेहाङ गाउँपालिका,खोटाङ,http://khotehangmun.gov.np,khotehangmun@gmail.com,036-413045,
४४,प्रदेश नं. १,जन्तेढुंगा गाउँपालिका,खोटाङ,http://jantedhungamun.gov.np,info@jantedhungamun.gov.np,9852846900,
४५,प्रदेश नं. १,वराहपोखरी गाउँपालिका,खोटाङ,http://barahapokharimun.gov.np,info@barahapokharimun.gov.np,9852849903,
४६,प्रदेश नं. १,षडानन्द नगरपालिका,भोजपुर,http://shadanandamun.gov.np,shadanandanagarpalika@gmail.com,029-421125,
४७,प्रदेश नं. १,साल्पासिलिछो गाउँपालिका,भोजपुर,http://salpasilichhomun.gov.np,salpasilichhoruralmunicipality@gmail.com,9818425952,
४८,प्रदेश नं. १,टेम्केमैयुङ गाउँपालिका,भोजपुर,http://tyamkemaiyummun.gov.np,temkemunbhp@gmail.com,9822573665,
४९,प्रदेश नं. १,भोजपुर नगरपालिका,भोजपुर,http://bhojpurmun.gov.np,info@bhojpurmun.gov.np,029-420102,
५०,प्रदेश नं. १,अरुण गाउँपालिका,भोजपुर,http://arunmun.gov.np,info@arunmun.gov.np,9860604650,
५१,प्रदेश नं. १,पौवादुङ्मा गाउँपालिका,भोजपुर,http://pauwadungmamun.gov.np,info@pauwadungmamun.gov.np,9852075800,
५२,प्रदेश नं. १,रामप्रसाद राई गाउँपालिका,भोजपुर,http://ramprasadraimun.gov.np,ramprasadrai.rm@gmail.com,"9852073886,",
५३,प्रदेश नं. १,हतुवागढी गाउँपालिका,भोजपुर,http://hatuwagadhimun.gov.np,ito.hatuwagadhimun@gmail.com,029-412026,
५४,प्रदेश नं. १,आमचोक गाउँपालिका,भोजपुर,http://aamchowkmun.gov.np,info@aamchowkmun.gov.np,9852081336,
५५,प्रदेश नं. १,महालक्ष्मी नगरपालिका,धनकुटा,http://mahalaxmimundhankuta.gov.np,mahalaxmimunjitpur@gmail.com,026-419000,
५६,प्रदेश नं. १,पाख्रिवास नगरपालिका,धनकुटा,http://pakhribasmun.gov.np,pakhribas.nagarpalika@gmail.com,026-405152,
५७,प्रदेश नं. १,छथर जोरपाटी गाउँपालिका,धनकुटा,http://chhatharjorpatimun.gov.np,info@chhatharjorpatimun.gov.np,026-404196,
५८,प्रदेश नं. १,धनकुटा नगरपालिका,धनकुटा,http://dhankutamun.gov.np,mundkt@gmail.com,026-520126,
५९,प्रदेश नं. १,सहिदभुमि गाउँपालिका,धनकुटा,http://shahidbhumimun.gov.np,sahidbhumirural@gmail.com,9842080705,
६०,प्रदेश नं. १,साँगुरीगढी गाउँपालिका,धनकुटा,http://sangurigadhimun.gov.np,sangurigadhi.ruralmundkt@gmail.com,025-400086,
६१,प्रदेश नं. १,चौबिसे गाउँपालिका,धनकुटा,http://choubisemun.gov.np,chaubisegapa@gmail.com,026-411031,
६२,प्रदेश नं. १,आठराई गाउँपालिका,तेह्रथुम,http://aathraimun.gov.np,aathraigaupalika1@gmail.com,9852684324,
६३,प्रदेश नं. १,फेदाप गाउँपालिका,तेह्रथुम,http://phedapmun.gov.np,info@phedapmun.gov.np,9852080600,
६४,प्रदेश नं. १,मेन्छयायेम गाउँपालिका,तेह्रथुम,http://menchhayayemmun.gov.np,info@menchhayayemmun.gov.np,9852082777,
६५,प्रदेश नं. १,म्याङलुङ नगरपालिका,तेह्रथुम,http://myanglungmun.gov.np,info@myanglungmun.gov.np,026-460135,
६६,प्रदेश नं. १,लालीगुराँस नगरपालिका,तेह्रथुम,http://laliguransmun.gov.np,info@laliguransmun.gov.np,026-402119,
६७,प्रदेश नं. १,छथर गाउँपालिका,तेह्रथुम,http://chhatharmun.gov.np,chhathargaupalika@gmail.com,026420099,
६८,प्रदेश नं. १,याङवरक गाउँपालिका,पाँचथर,http://yangwarakmunpanchthar.gov.np,info@yangwarakmunpanchthar.gov.np,024-410049,
६९,प्रदेश नं. १,हिलिहाङ गाउँपालिका,पाँचथर,http://hilihangmun.gov.np,info@hilihangmun.gov.np,9843697622,
७०,प्रदेश नं. १,फालेलुङ गाउँपालिका,पाँचथर,http://phalelungmun.gov.np,phalelunggaunpalika@gmail.com,021696490,
७१,प्रदेश नं. १,फिदिम नगरपालिका,पाँचथर,http://phidimmun.gov.np,phidim.municipality@gmail.com,024-521107,
७२,प्रदेश नं. १,फाल्गुनन्द गाउँपालिका,पाँचथर,http://phalgunandamun.gov.np,info@phalgunandamun.gov.np,9852684384,
७३,प्रदेश नं. १,कुम्मायक गाउँपालिका,पाँचथर,http://kummayakmun.gov.np,info@kummayakmun.gov.np,024413061,
७४,प्रदेश नं. १,तुम्वेवा गाउँपालिका,पाँचथर,http://tumwewamun.gov.np,info@tumwewamun.gov.np,9814049160,
७५,प्रदेश नं. १,मिक्लाजुङ गाउँपालिका,पाँचथर,http://miklajungmunpanchthar.gov.np,info@miklajungmunpanchthar.gov.np,"024-412115,",
७६,प्रदेश नं. १,माईजोगमाई गाउँपालिका,इलाम,http://maijogmaimun.gov.np,info@maijogmaimun.gov.np,027-411044,
७७,प्रदेश नं. १,सन्दकपुर गाउँपालिका,इलाम,http://sandakpurmun.gov.np,sandakpurrm@gmail.com,9801451741,
७८,प्रदेश नं. १,ईलाम नगरपालिका,इलाम,http://ilammun.gov.np,mun.ilam@gmail.com,027-520060,
७९,प्रदेश नं. १,देउमाई नगरपालिका,इलाम,http://deumaimun.gov.np,info@deumaimun.gov.np,027-400001,
८०,प्रदेश नं. १,फाकफोकथुम गाउँपालिका,इलाम,http://phakphokthummun.gov.np,phakphokthum.ruralmunicipality@gmail.com,00,
८१,प्रदेश नं. १,माङसेबुङ गाउँपालिका,इलाम,http://mansebungmun.gov.np,mangsebung.ruralmun@gmail.com,9852685445,
८२,प्रदेश नं. १,चुलाचुली गाउँपालिका,इलाम,http://chulachulimun.gov.np,chulachuli.ruralmunicipality@gmail.com,9746872425,
८३,प्रदेश नं. १,माई नगरपालिका,इलाम,http://maimun.gov.np,mainagarpalika@gmail.com,027412222,
८४,प्रदेश नं. १,सुर्योदय नगरपालिका,इलाम,http://suryodayamun.gov.np,info@suryodayamun.gov.np,027-540410,
८५,प्रदेश नं. १,रोङ गाउँपालिका,इलाम,http://rongmun.gov.np,info@rongmun.gov.np,9852042020,
८६,प्रदेश नं. १,मेचीनगर नगरपालिका,झापा,http://mechinagarmun.gov.np,ito.mechinagarmun@gmail.com,023-562505,
८७,प्रदेश नं. १,बुद्धशान्ति गाउँपालिका,झापा,http://buddhashantimun.gov.np,buddhashantimun@gmail.com,023-555044,
८८,प्रदेश नं. १,अर्जुनधारा नगरपालिका,झापा,http://arjundharamun.gov.np,info@arjundharamun.gov.np,"023-597002,",
८९,प्रदेश नं. १,कन्काई नगरपालिका,झापा,http://kankaimun.gov.np,kanakai.mun@gmail.com,023-401111,
९०,प्रदेश नं. १,शिवसताक्षी नगरपालिका,झापा,http://shivasatakshimun.gov.np,dms.shivasatakshimun@gmail.com,023-470323,
९१,प्रदेश नं. १,कमल गाउँपालिका,झापा,http://kamalmun.gov.np,info@kamalmun.gov.np,023-475081,
९२,प्रदेश नं. १,दमक नगरपालिका,झापा,http://damakmun.gov.np,info@damakmun.gov.np,023-580137,
९३,प्रदेश नं. १,गौरादह नगरपालिका,झापा,http://gauradahamun.gov.np,gauradahamun@gmail.com,023-509800,
९४,प्रदेश नं. १,गौरिगंज गाउँपालिका,झापा,http://gaurigunjmun.gov.np,info@gaurigunjmun.gov.np,023-412044,
९५,प्रदेश नं. १,झापा गाउँपालिका,झापा,http://jhapamun.gov.np,info@jhapamun.gov.np,9852630900,
९६,प्रदेश नं. १,बाह्रदशी गाउँपालिका,झापा,http://bahradashimun.gov.np,bahradashirm@gmail.com,9824002677,
९७,प्रदेश नं. १,विर्तामोड नगरपालिका,झापा,http://birtamodmun.gov.np,info@birtamodmun.gov.np,023-540315,
९८,प्रदेश नं. १,हल्दिबारी गाउँपालिका,झापा,http://haldibarimun.gov.np,haldibariruralmunicipality123@gmail.com,9818957218,
९९,प्रदेश नं. १,भद्रपुर नगरपालिका,झापा,http://bhadrapurmun.gov.np,info@bhadrapurmun.gov.np,023-520148,
१००,प्रदेश नं. १,कचनकवल गाउँपालिका,झापा,http://kachankawalmun.gov.np,kachankawala@gmail.com,9852655210,
१०१,प्रदेश नं. १,मिक्लाजुङ गाउँपालिका,मोरङ,http://miklajungmunmorang.gov.np,miklajungrmun@gmail.com,021-400001,
१०२,प्रदेश नं. १,लेटाङ नगरपालिका,मोरङ,http://letangmun.gov.np,letangmunicipality@gmail.com,021-560666,
१०३,प्रदेश नं. १,केराबारी गाउँपालिका,मोरङ,http://kerabarimun.gov.np,info@kerabarimun.gov.np,021-403110,
१०४,प्रदेश नं. १,सुन्दर हरैचा नगरपालिका,मोरङ,http://sundarharaichamun.gov.np,sundarharaichamun@gmail.com,021-545822,
१०५,प्रदेश नं. १,बेलवारी नगरपालिका,मोरङ,http://belbarimun.gov.np,info@belbarimun.gov.np,021-434213,
१०६,प्रदेश नं. १,कानेपोखरी गाउँपालिका,मोरङ,http://kanepokharimun.gov.np,kanepokharirmun@gmail.com,021-585155,
१०७,प्रदेश नं. १,पथरी शनिश्चरे नगरपालिका,मोरङ,http://patharishanishcharemun.gov.np,patharishanishcharemun@gmail.com,"021-556113,021-555212",
१०८,प्रदेश नं. १,उर्लाबारी नगरपालिका,मोरङ,http://urlabarimun.gov.np,info@urlabarimun.gov.np,021540459,
१०९,प्रदेश नं. १,रतुवामाई नगरपालिका,मोरङ,http://ratuwamaimun.gov.np,ratuwamaimunicipalityinfo@gmail.com,021-414052,
११०,प्रदेश नं. १,सुनवर्षी नगरपालिका,मोरङ,http://sunawarshimun.gov.np,info@sunawarshimun.gov.np,021-433025,
१११,प्रदेश नं. १,रंगेली नगरपालिका,मोरङ,http://rangelimun.gov.np,rangelimun@gmail.com,021-580674,
११२,प्रदेश नं. १,ग्रामथान गाउँपालिका,मोरङ,http://gramthanmun.gov.np,info@gramthanmun.gov.np,9800968877,
११३,प्रदेश नं. १,बुढीगंगा गाउँपालिका,मोरङ,http://budhigangamunmorang.gov.np,buddhigangamun@gmail.com,9851043855,
११४,प्रदेश नं. १,विराटनगर महानगरपालिका,मोरङ,http://biratnagarmun.gov.np,info@biratnagarmun.gov.np,021-577388,
११५,प्रदेश नं. १,कटहरी गाउँपालिका,मोरङ,http://kataharimun.gov.np,kataharigaupalika@gmail.com,021-404100,
११६,प्रदेश नं. १,धनपालथान गाउँपालिका,मोरङ,http://dhanapalthanmun.gov.np,info@dhanapalthanmun.gov.np,021-565122,
११७,प्रदेश नं. १,जहदा गाउँपालिका,मोरङ,http://jahadamun.gov.np,jahadagaupalika@gmail.com,9805308109,
११८,प्रदेश नं. १,धरान उप-महानगरपालिका,सुनसरी,http://dharan.gov.np,info@dharan.gov.np,025-520407,
११९,प्रदेश नं. १,बराहक्षेत्र नगरपालिका,सुनसरी,http://barahamun.gov.np,barahmun@gmail.com,025-551145,
१२०,प्रदेश नं. १,कोशी गाउँपालिका,सुनसरी,http://koshimun.gov.np,koshigaupalika@gmail.com,025-401066,
१२१,प्रदेश नं. १,भोक्राहा नरसिंह गाउँपालिका,सुनसरी,http://bhokrahamun.gov.np,bhokrahanarsingh.gapa@gmail.com,9852041377,
१२२,प्रदेश नं. १,रामधुनी नगरपालिका,सुनसरी,http://ramdhunimun.gov.np,ramdhunibhasi@gmail.com,025-562566,
१२३,प्रदेश नं. १,इटहरी उप-महानगरपालिका,सुनसरी,http://itaharimun.gov.np,itahari.municipality@gmail.com,025-581706,
१२४,प्रदेश नं. १,दुहवी नगरपालिका,सुनसरी,http://duhabimun.gov.np,info@duhabimun.gov.np,025-540024,
१२५,प्रदेश नं. १,गढी गाउँपालिका,सुनसरी,http://gadhimun.gov.np,ito.gadhiruralmuncipality@gmail.com,0,
१२६,प्रदेश नं. १,इनरुवा नगरपालिका,सुनसरी,http://inaruwamun.gov.np,info@inaruwamun.gov.np,025-560077,
१२७,प्रदेश नं. १,हरिनगर गाउँपालिका,सुनसरी,http://harinagaramun.gov.np,harinagargapa@gmail.com,9842438096,
१२८,प्रदेश नं. १,देवानगञ्ज गाउँपालिका,सुनसरी,http://dewanganjmun.gov.np,dewanganjmun@gmail.com,9816387576,
१२९,प्रदेश नं. १,बर्जु गाउँपालिका,सुनसरी,http://barjumun.gov.np,info@barjumun.gov.np,9807313730,
१३०,प्रदेश नं. १,वेलका नगरपालिका,उदयपुर,http://belakamun.gov.np,belakamun@gmail.com,"9852835479,9851176291",
१३१,प्रदेश नं. १,चौदण्डीगढी नगरपालिका,उदयपुर,http://chaudandigadhimun.gov.np,chaudandigadhimun@gmail.com,"035-440247,035-440246",
१३२,प्रदेश नं. १,त्रियुगा नगरपालिका,उदयपुर,http://triyugamun.gov.np,triyuga.mun@gmail.com,035-420186,
१३३,प्रदेश नं. १,रौतामाई गाउँपालिका,उदयपुर,http://rautamaimun.gov.np,rautamairm@gmail.com,9852830325,
१३४,प्रदेश नं. १,लिम्चुङबुङ गाउँपालिका,उदयपुर,http://limchungbungmun.gov.np,ito.limchunbunmun@gmail.com,9852829101,
१३५,प्रदेश नं. १,ताप्ली गाउँपालिका,उदयपुर,http://taplimun.gov.np,ict.taplimun@gmail.com,035-691336,
१३६,प्रदेश नं. १,कटारी नगरपालिका,उदयपुर,http://katarimun.gov.np,info@katarimun.gov.np,035-450039,
१३७,प्रदेश नं. १,उदयपुरगढी गाउँपालिका,उदयपुर,http://udayapurgadhimun.gov.np,udayapurgadhirm@gmail.com,9844867979,
१३८,मधेश प्रदेश,सप्तकोशी नगरपालिका,सप्तरी,http://saptakoshimun.gov.np,saptakoshimun@gmail.com,031-550019,
१३९,मधेश प्रदेश,कञ्चनरुप नगरपालिका,सप्तरी,http://kanchanrupmun.gov.np,kanchanrupmunicipality@gmail.com,031-560114,
१४०,मधेश प्रदेश,अग्नीसाइर कृष्णासवरन गाउँपालिका,सप्तरी,http://agnisairkrishnasawaranmun.gov.np,asks.gapa@gmail.com,9804760844,
१४१,मधेश प्रदेश,रुपनी गाउँपालिका,सप्तरी,http://rupanimun.gov.np,info@rupanimun.gov.np,031-450035,
१४२,मधेश प्रदेश,शम्भुनाथ नगरपालिका,सप्तरी,http://shambhunathmun.gov.np,shambhunathmun@gmail.com,031-410111,
१४३,मधेश प्रदेश,खडक नगरपालिका,सप्तरी,http://khadakmun.gov.np,info@khadakmun.gov.np,031-540054,
१४४,मधेश प्रदेश,सुरुगां नगरपालिका,सप्तरी,http://surungamun.gov.np,surungamun@gmail.com,9804705919,
१४५,मधेश प्रदेश,बलान-विहुल गाउँपालिका,सप्तरी,http://balanbihulmun.gov.np,info@balanbihulmun.gov.np,9852660606,
१४६,मधेश प्रदेश,बोदेबरसाईन नगरपालिका,सप्तरी,http://bodebarsainmun.gov.np,bodebarsainmun@gmail.com,9819912600,
१४७,मधेश प्रदेश,डाक्नेश्वरी नगरपालिका,सप्तरी,http://dakneshworimun.gov.np,info@dakneshworimun.gov.np,9852822665,
१४८,मधेश प्रदेश,राजगढ गाउँपालिका,सप्तरी,http://rajgadhmun.gov.np,rajgadhmun@gmail.com,"9824737392,",
१४९,मधेश प्रदेश,बिष्णुपुर गाउँपालिका,सप्तरी,http://bishnupurmunsaptari.gov.np,bishnupursaptari@gmail.com,9852822500,
१५०,मधेश प्रदेश,राजविराज नगरपालिका,सप्तरी,http://rajbirajmun.gov.np,rajbirajmunsaptari@gmail.com,031-520703,
१५१,मधेश प्रदेश,महादेवा गाउँपालिका,सप्तरी,http://mahadevamun.gov.np,mahadevarmun@gmail.com,9815729565,
१५२,मधेश प्रदेश,तिरहुत गाउँपालिका,सप्तरी,http://tirahutmun.gov.np,tirahutgaunpalika555@gmail.com,9852821076,
१५३,मधेश प्रदेश,हनुमाननगर कंकालिनी नगरपालिका,सप्तरी,http://hanumannagarkankalinimun.gov.np,ito.hanumannagarkankalinimun@gmail.com,031580119,
१५४,मधेश प्रदेश,तिलाठीकोईलाडी गाउँपालिका,सप्तरी,http://tilathikoiladimun.gov.np,tilathikoiladigp@gmail.com,985282225,
१५५,मधेश प्रदेश,छिन्नमस्ता गाउँपालिका,सप्तरी,http://chhinnamastamun.gov.np,chhinnamasta.rmo.saptari@gmail.com,9852821567,
१५६,मधेश प्रदेश,लहान नगरपालिका,सिराहा,http://lahanmun.gov.np,lahan.municipal@gmail.com,033-563138,
१५७,मधेश प्रदेश,धनगढीमाई नगरपालिका,सिराहा,http://dhangadhimaimun.gov.np,info@dhangadhimaimun.gov.np,"033-545271,",
१५८,मधेश प्रदेश,गोलबजार नगरपालिका,सिराहा,http://golbazarmun.gov.np,golbazarmun@gmail.com,033-540499,
१५९,मधेश प्रदेश,मिर्चैया नगरपालिका,सिराहा,http://mirchaiyamun.gov.np,munmirchaiya272@gmail.com,033550101,
१६०,मधेश प्रदेश,कर्जन्हा नगरपालिका,सिराहा,http://karjanhamun.gov.np,karjanhamun@gmail.com,9852847112,
१६१,मधेश प्रदेश,कल्याणपुर नगरपालिका,सिराहा,http://kalyanpurmun.gov.np,kalyanpurmun2073@gmail.com,9852834364,
१६२,मधेश प्रदेश,नरहा गाउँपालिका,सिराहा,http://narahamun.gov.np,narahagapa@gmail.com,9852825205,
१६३,मधेश प्रदेश,विष्णुपुर गाउँपालिका,सिराहा,http://bishnupurmunsiraha.gov.np,info@bishnupurmunsiraha.gov.np,9852850052,
१६४,मधेश प्रदेश,अर्नमा गाउँपालिका,सिराहा,http://anarmamun.gov.np,info@arnamamun.gov.np,9869067776,
१६५,मधेश प्रदेश,सुखीपुर नगरपालिका,सिराहा,http://sukhipurmun.gov.np,sukhipurnagarpalika@gmail.com,9861851800,
१६६,मधेश प्रदेश,लक्ष्मीपुर पतारी गाउँपालिका,सिराहा,http://laxmipurpatarimun.gov.np,laxmipurpatari@gmail.com,9811745010,
१६७,मधेश प्रदेश,सखुवानान्कारकट्टी गाउँपालिका,सिराहा,http://sakhuwanankarkattimun.gov.np,sakhuwanankarkatti@gmail.com,9852832663,
१६८,मधेश प्रदेश,भगवानपुर गाउँपालिका,सिराहा,http://bhagwanpurmun.gov.np,bhagwanpurgaupalika@gmail.com,9852858001,
१६९,मधेश प्रदेश,नवराजपुर गाउँपालिका,सिराहा,http://nawarajpurmun.gov.np,gapanavrajpursiraha@gmail.com,9824704793,
१७०,मधेश प्रदेश,बरियारपट्टी गाउँपालिका,सिराहा,http://bariyapattimun.gov.np,ito.bariyarpattimun@gmail.com,9816723879,
१७१,मधेश प्रदेश,औरही गाउँपालिका,सिराहा,http://aurahimunsiraha.gov.np,aurahigaunpalika@gmail.com,9824796438,
१७२,मधेश प्रदेश,सिरहा नगरपालिका,सिराहा,http://sirahamun.gov.np,sirahamun2053@gmail.com,033-520158,
१७३,मधेश प्रदेश,गणेशमान–चारनाथ नगरपालिका,धनुषा,http://ganeshmancharnathmun.gov.np,ganeshmancharnath@gmail.com,041-427029,
१७४,मधेश प्रदेश,धनुषाधाम नगरपालिका,धनुषा,http://dhanushadhammun.gov.np,dhanushadhammunicipality@gmail.com,041-414001,
१७५,मधेश प्रदेश,मिथिला नगरपालिका,धनुषा,http://mithilamun.gov.np,info@mithilamun.gov.np,041-560046,
१७६,मधेश प्रदेश,बटेश्वर गाउँपालिका,धनुषा,http://bateshwormun.gov.np,bateshwormun@gmail.com,9851150811,
१७७,मधेश प्रदेश,क्षिरेश्वरनाथ नगरपालिका,धनुषा,http://kshireshwornathmun.gov.np,kshireshwornathmun@gmail.com,041-540077,
१७८,मधेश प्रदेश,लक्ष्मीनिया गाउँपालिका,धनुषा,http://laxminiyamun.gov.np,laxminiyamun@gmail.com,9854029420,
१७९,मधेश प्रदेश,मिथिला विहारी नगरपालिका,धनुषा,http://mithilabiharimun.gov.np,info@mithilabiharimun.gov.np,9808953351,
१८०,मधेश प्रदेश,हंसपुर नगरपालिका,धनुषा,http://hansapurmun.gov.np,hanspurnagarpalika@gmail.com,9854028880,
१८१,मधेश प्रदेश,सबैला नगरपालिका,धनुषा,http://sabailamun.gov.np,sabailamun@gmail.com,9854024281,
१८२,मधेश प्रदेश,शहिदनगर नगरपालिका,धनुषा,http://shahidnagarmun.gov.np,ito.shahidnagarmun@gmail.com,९८५४०२९७६९,
१८३,मधेश प्रदेश,कमला नगरपालिका,धनुषा,http://kamalamun.gov.np,kamala.municipality@gmail.com,9854029063,
१८४,मधेश प्रदेश,जनकनन्दिनी गाउँपालिका,धनुषा,http://janaknandinimun.gov.np,info@janaknandinimun.gov.np,9854029259,
१८५,मधेश प्रदेश,विदेह नगरपालिका,धनुषा,http://bidehamun.gov.np,info@bidehamun.gov.np,9868023630,
१८६,मधेश प्रदेश,औरही गाउँपालिका,धनुषा,http://aurahimundhanusha.gov.np,aurahimun@gmail.com,9854022270,
१८७,मधेश प्रदेश,जनकपुर उप-महानगरपालिका,धनुषा,http://janakpurmun.gov.np,info@janakpurmun.gov.np,041-520520,
